latitude,longitude,altitude,geometry,street,neighbourhood,currentResult,votesTotal,osmnodeid,marker-color,comment
49.611785,6.14256,,Point,Rue de la Tour Jacob,Clausen,2,5,node/35350758,#FF0000,
49.6064,6.106448,,Point,Rue Astrid,Belair,0,5,node/61871155,#FFD700,
49.608948,6.117135,,Point,Avenue du Dix Septembre,Belair,2,5,node/61871162,#FF0000,
49.609116,6.161788,,Point,Rue de Hamm,Hamm,2,5,node/65199733,#FF0000,
49.607081,6.15528,,Point,Rue de Hamm,Hamm,2,11,node/65200123,#FF0000,
49.605762,6.152863,,Point,Rue de Hamm,Pulvermuhl,2,5,node/65256588,#FF0000,
49.610087,6.167096,,Point,Rue de Hamm,Hamm,2,8,node/65489248,#FF0000,
49.61446,6.164714,,Point,Beim Fetschebuer,Hamm,0,6,node/68603608,#FFD700,
49.597366,6.140056,,Point,Rue Pierre Krier,Bonnevoie,2,6,node/69143231,#FF0000,
49.597739,6.143158,,Point,Boulevard Robert Baden-Powell,Bonnevoie,2,6,node/69144212,#FF0000,
49.596485,6.140984,,Point,Rue Jean-Baptiste Gellé,Bonnevoie,2,6,node/69211039,#FF0000,
49.613825,6.144678,,Point,Rue de Clausen,Clausen,2,5,node/70600534,#FF0000,
49.617336,6.15222,,Point,Rue de Neudorf,Clausen,0,5,node/70600546,#FFD700,
49.618072,6.154385,,Point,Rue de Neudorf,Clausen,2,5,node/70600549,#FF0000,
49.620768,6.160421,,Point,Rue de Neudorf,Clausen,2,5,node/70600555,#FF0000,
49.62376,6.174696,,Point,Rue de Neudorf,Neudorf-Weimershof,2,5,node/70600582,#FF0000,
49.623758,6.177505,,Point,Rue de Neudorf,Neudorf-Weimershof,10,5,node/70600587,#FFD700,
49.605927,6.125243,,Point,Boulevard de la Pétrusse,Gare,2,5,node/70601999,#FF0000,
49.597279,6.150222,,Point,Rue Jean-François Gangler,Bonnevoie,0,5,node/70824150,#FFD700,
49.595264,6.153013,,Point,Boulevard Kaltreis,Bonnevoie,2,5,node/70825705,#FF0000,
49.610308,6.107519,,Point,Avenue Gaston Diderich,Belair,2,5,node/71248327,#FF0000,
49.617207,6.114534,,Point,Rue de Rollingergrund,Rollingergrund,2,5,node/71259487,#FF0000,
49.626701,6.124914,,Point,Rue de Mühlenbach,Eich,2,5,node/71259572,#FF0000,
49.605376,6.142432,,Point,Rue Charles Calmette,Verlorenkost,12,5,node/71510518,#FF0000,
49.614677,6.134219,,Point,Rue Vauban,Pfaffenthal,0,5,node/75385090,#FFD700,
49.627898,6.159151,,Point,Rue Richard Coudenhove-Kalergi,Kirchberg,2,5,node/75410784,#FF0000,
49.627031,6.120091,,Point,Rue Albert Unden,Muhlenbach,2,5,node/75550478,#FF0000,
49.620594,6.124072,,Point,Avenue du Bois,Limpertsberg,2,5,node/75550494,#FF0000,
49.603354,6.114279,,Point,Rue Marie-Adélaïde,Hollerich,0,5,node/75567952,#FFD700,
49.624284,6.100506,,Point,Rue de Reckenthal,Rollingergrund,12,6,node/117332974,#FF0000,
49.62836,6.177163,,Point,Rue du Grünewald,Neudorf-Weimershof,2,6,node/224168893,#FF0000,
49.622439,6.185772,,Point,Rue de Neudorf,Neudorf-Weimershof,2,6,node/224169969,#FF0000,
49.600434,6.121583,,Point,Rue de la Vallée,Hollerich,0,6,node/247325679,#FFD700,
49.619493,6.168539,,Point,Boulevard Charles Simonis,Cents,2,6,node/247754236,#FF0000,
49.605269,6.118837,,Point,Rue Marie-Adélaïde,Hollerich,2,6,node/255948775,#FF0000,
49.622597,6.15894,,Point,Rue des Muguets,Neudorf-Weimershof,12,6,node/255950755,#FF0000,
49.621843,6.151581,,Point,Rue Érasme,Kirchberg,2,6,node/268553298,#FF0000,
49.598085,6.132121,,Point,,Gare,0,6,node/269334070,#FFD700,
49.60568,6.12001,,Point,Rue des Jardiniers,Hollerich,12,6,node/278516784,#FF0000,
49.626922,6.143991,,Point,Rue des Maraîchers,Kirchberg,10,6,node/279401905,#FFD700,
49.589169,6.106528,,Point,Rue de la Forêt,Cessange,2,6,node/287034369,#FF0000,
49.612802,6.144035,,Point,Rue de la Tour Jacob,Clausen,2,6,node/287303527,#FF0000,
49.608104,6.102335,,Point,Rue Jean Schoetter,Belair,2,6,node/288703801,#FF0000,
49.625238,6.13979,,Point,Rue des Maraîchers,Kirchberg,0,6,node/304120763,#FFD700,
49.633835,6.167697,,Point,Rue Alphonse Weicker,Kirchberg,2,6,node/307681129,#FF0000,
49.627857,6.135888,,Point,Rue de Laroche,Weimerskirch,2,6,node/318407659,#FF0000,
49.628861,6.158373,,Point,Rue Richard Coudenhove-Kalergi,Kirchberg,0,5,node/392437621,#FFD700,
49.628817,6.158269,,Point,Rue Richard Coudenhove-Kalergi,Kirchberg,0,5,node/392437661,#FFD700,
49.603034,6.089269,,Point,Route de Longwy,Merl,2,5,node/410524994,#FF0000,
49.61433,6.141275,,Point,Allée Pierre de Mansfeld,Clausen,2,5,node/414028145,#FF0000,
49.63406,6.140785,,Point,Route d'Echternach,Dommeldange,2,5,node/430270347,#FF0000,
49.611638,6.119947,,Point,Place Winston Churchill,Ville-Haute,2,5,node/438250747,#FF0000,
49.610352,6.105319,,Point,Boulevard Grande-Duchesse Joséphine-Charlotte,Belair,2,5,node/445083537,#FF0000,
49.615196,6.128517,,Point,Avenue Jean-Pierre Pescatore,Ville-Haute,2,5,node/452619712,#FF0000,
49.618534,6.097666,,Point,Rue Nicolas-Ernest Barblé,Rollingergrund,12,10,node/512021796,#FF0000,
49.618512,6.097698,,Point,Rue Nicolas-Ernest Barblé,Rollingergrund,2,11,node/512021798,#FF0000,
49.618506,6.097203,,Point,Rue Pierre Federspiel,Rollingergrund,2,5,node/512021804,#FF0000,
49.618733,6.098504,,Point,Rue Nicolas-Ernest Barblé,Rollingergrund,2,5,node/527956796,#FF0000,
49.610169,6.113875,,Point,Rue des Franciscaines,Belair,2,5,node/528191451,#FF0000,
49.610106,6.1157,,Point,Rue des Dahlias,Belair,2,5,node/528191485,#FF0000,
49.610261,6.112943,,Point,Avenue Gaston Diderich,Belair,2,5,node/528191585,#FF0000,
49.610239,6.113524,,Point,Avenue Gaston Diderich,Belair,2,5,node/528191636,#FF0000,
49.610297,6.113528,,Point,Avenue Gaston Diderich,Belair,2,5,node/528191720,#FF0000,
49.610319,6.112948,,Point,Avenue Gaston Diderich,Belair,2,6,node/528191731,#FF0000,
49.610272,6.115353,,Point,Rue Ernest Koch,Belair,2,5,node/534868634,#FF0000,
49.628877,6.162854,,Point,Rue Albert Borschette,Kirchberg,2,13,node/549780298,#FF0000,
49.608472,6.113637,,Point,Rue des Franciscaines,Belair,2,11,node/568060357,#FF0000,
49.611206,6.119885,,Point,Place Winston Churchill,Ville-Haute,2,5,node/634345977,#FF0000,
49.624955,6.114258,,Point,Avenue Pasteur,Limpertsberg,2,5,node/634384411,#FF0000,
49.634115,6.166347,,Point,Rue Joseph Hess,Kirchberg,12,6,node/635955784,#FF0000,
49.63421,6.169981,,Point,Rue Carlo Hemmer,Kirchberg,2,8,node/636021366,#FF0000,
49.603226,6.106295,,Point,Rue Marguerite de Brabant,Hollerich,12,9,node/643207190,#FF0000,
49.63234,6.177726,,Point,Boulevard Pierre Werner,Neudorf-Weimershof,2,10,node/644795390,#FF0000,
49.621616,6.115761,,Point,Rue Batty Weber,Limpertsberg,2,11,node/644895340,#FF0000,
49.59327,6.139113,,Point,Route de Thionville,Bonnevoie,2,5,node/663902053,#FF0000,
49.610002,6.129746,,Point,,Clausen,12,5,node/678966370,#FF0000,
49.606444,6.106601,,Point,Avenue du Dix Septembre,Belair,2,6,node/685779685,#FF0000,
49.621731,6.120923,,Point,Avenue Victor Hugo,Limpertsberg,2,5,node/704114872,#FF0000,
49.612333,6.124043,,Point,Avenue Émile Reuter,Ville-Haute,0,5,node/726195152,#FFD700,
49.613219,6.120038,,Point,Place de l'Étoile,Ville-Haute,0,5,node/726224504,#FFD700,
49.619359,6.126724,,Point,Boulevard Paul Eyschen,Limpertsberg,2,5,node/728372982,#FF0000,
49.588718,6.106925,,Point,Rue de Cessange,Cessange,0,5,node/729617804,#FFD700,
49.594518,6.110038,,Point,Rue de Cessange,Cessange,2,5,node/729617822,#FF0000,
49.619111,6.121437,,Point,Avenue Pasteur,Limpertsberg,2,5,node/791269322,#FF0000,
49.617842,6.119388,,Point,Avenue de la Faïencerie,Limpertsberg,2,5,node/798886007,#FF0000,
49.607128,6.141166,,Point,Boulevard General George S. Patton,Verlorenkost,2,5,node/806519330,#FF0000,
49.602124,6.097134,,Point,Rue de la Barrière,Merl,12,5,node/901522747,#FF0000,
49.589644,6.118335,,Point,Rue Christophe Plantin,Gasperich,2,5,node/944453293,#FF0000,
49.621125,6.146124,,Point,Rue Charles-Léon Hammes,Kirchberg,2,5,node/976768930,#FF0000,
49.641905,6.135062,,Point,Rue Henri Dunant,Beggen,2,7,node/1063800761,#FF0000,
49.600472,6.109225,,Point,Nouvelle route d'Esch,Hollerich,2,6,node/1064046740,#FF0000,
49.619091,6.100367,,Point,Rue Nicolas-Ernest Barblé,Rollingergrund,2,6,node/1098872208,#FF0000,
49.614196,6.129011,,Point,Boulevard Royal,Ville-Haute,2,6,node/1098872721,#FF0000,
49.61247,6.097603,,Point,Rue des Aubépines,Belair,2,6,node/1102589086,#FF0000,
49.612348,6.097775,,Point,Val Sainte-Croix,Belair,2,6,node/1102589117,#FF0000,
49.610446,6.107655,,Point,Rue d'Amsterdam,Belair,2,7,node/1102589302,#FF0000,
49.609906,6.106234,,Point,Avenue Gaston Diderich,Belair,2,7,node/1102590592,#FF0000,
49.610229,6.107654,,Point,Rue Théodore Eberhard,Belair,12,7,node/1102590667,#FF0000,
49.625481,6.148095,,Point,Rue Érasme,Kirchberg,12,6,node/1107918318,#FF0000,
49.612473,6.14816,,Point,Rue de Trèves,Cents,2,7,node/1107918375,#FF0000,
49.605263,6.141308,,Point,Rue Auguste Lumière,Verlorenkost,0,7,node/1107918444,#FFD700,
49.62472,6.148851,,Point,Rue Érasme,Kirchberg,2,7,node/1107918458,#FF0000,
49.624912,6.148654,,Point,Rue Érasme,Kirchberg,0,7,node/1107918475,#FFD700,
49.62412,6.149446,,Point,Rue Érasme,Kirchberg,2,7,node/1107918553,#FF0000,
49.624707,6.148501,,Point,Rue Antoine de Saint-Exupéry,Kirchberg,0,7,node/1107918558,#FFD700,
49.612539,6.156239,,Point,Rue des Pommiers,Cents,2,7,node/1107918559,#FF0000,
49.626556,6.151611,,Point,Rue Léon Hengen,Kirchberg,12,7,node/1110328360,#FF0000,
49.623804,6.146363,,Point,Rue Antoine de Saint-Exupéry,Kirchberg,0,6,node/1110328500,#FFD700,
49.598468,6.140042,,Point,Rue Irmine,Bonnevoie,2,6,node/1111509621,#FF0000,
49.598565,6.14019,,Point,Rue Auguste Charles,Bonnevoie,12,6,node/1111509645,#FF0000,
49.60395,6.116082,,Point,Rue Marie-Adélaïde,Hollerich,2,6,node/1111509648,#FF0000,
49.599616,6.137269,,Point,Rue de Bonnevoie,Verlorenkost,2,6,node/1111509655,#FF0000,
49.599402,6.137337,,Point,Rue de Bonnevoie,Verlorenkost,2,6,node/1111509669,#FF0000,
49.598441,6.137647,,Point,Rue de Bonnevoie,Bonnevoie,2,6,node/1111509687,#FF0000,
49.599272,6.122642,,Point,Rue de Strasbourg,Hollerich,2,7,node/1111535416,#FF0000,
49.613407,6.125806,,Point,Avenue Amélie,Ville-Haute,2,7,node/1118466511,#FF0000,
49.601352,6.102901,,Point,Rue de Merl,Merl,2,8,node/1130823459,#FF0000,
49.593525,6.151978,,Point,Boulevard Kaltreis,Bonnevoie,2,7,node/1132240689,#FF0000,
49.638653,6.118567,,Point,Rue des Sept-Arpents,Muhlenbach,12,6,node/1218243774,#FF0000,
49.614537,6.117592,,Point,Rue de Rollingergrund,Rollingergrund,2,7,node/1232409842,#FF0000,
49.597458,6.140345,,Point,Rue Pierre Krier,Bonnevoie,2,7,node/1235127234,#FF0000,
49.597497,6.140145,,Point,Rue Irmine,Bonnevoie,2,7,node/1235160582,#FF0000,
49.609199,6.106807,,Point,Rue Théodore Eberhard,Belair,2,6,node/1252372803,#FF0000,
49.61155,6.107538,,Point,Rue Jean-Baptiste Esch,Belair,2,6,node/1252372807,#FF0000,
49.608509,6.107916,,Point,Boulevard de Verdun,Belair,2,6,node/1252372808,#FF0000,
49.612638,6.106988,,Point,Val Sainte-Croix,Belair,0,10,node/1252372811,#FFD700,
49.608445,6.108115,,Point,Rue Maréchal Foch,Belair,12,6,node/1252372815,#FF0000,
49.608648,6.107872,,Point,Rue Astrid,Belair,2,6,node/1252372824,#FF0000,
49.609316,6.106778,,Point,Boulevard de Verdun,Belair,2,6,node/1252372825,#FF0000,
49.612587,6.107166,,Point,Rue d'Amsterdam,Belair,2,6,node/1252372829,#FF0000,
49.6092,6.10695,,Point,Boulevard de Verdun,Belair,2,6,node/1252372833,#FF0000,
49.612673,6.107364,,Point,Val Sainte-Croix,Belair,2,10,node/1252372840,#FF0000,
49.606483,6.106381,,Point,Rue Astrid,Belair,2,6,node/1252410563,#FF0000,
49.605891,6.102498,,Point,Rue d'Orval,Belair,2,6,node/1252557190,#FF0000,
49.594653,6.110333,,Point,Rue de Cessange,Cessange,0,6,node/1258947385,#FFD700,
49.624353,6.172444,,Point,Rue de Neudorf,Neudorf-Weimershof,0,6,node/1268030219,#FFD700,
49.6035254632952,6.10251633423966,,Point,Boulevard Marcel Cahen,Merl,12,6,node/1278756100,#FF0000,
49.615201,6.121631,,Point,Allée de l'Unioun,Ville-Haute,2,10,node/1280809209,#FF0000,
49.614383,6.120797,,Point,Rue de la Chapelle,Ville-Haute,2,7,node/1280809232,#FF0000,
49.604255,6.103842,,Point,Rue Guillaume de Machault,Merl,2,7,node/1298780008,#FF0000,
49.602362,6.09846,,Point,Rue Nicolas Mameranus,Merl,2,6,node/1298780015,#FF0000,
49.603009,6.101341,,Point,Boulevard Marcel Cahen,Merl,0,12,node/1298780021,#FFD700,
49.605727,6.110568,,Point,Boulevard Pierre Dupong,Hollerich,2,6,node/1303641453,#FF0000,
49.601792,6.11617,,Point,Rue de l'Abattoir,Hollerich,0,6,node/1303641466,#FFD700,
49.605623,6.110525,,Point,Rue Auguste Neyen,Hollerich,12,6,node/1303641470,#FF0000,
49.606318,6.110065,,Point,Boulevard Pierre Dupong,Hollerich,2,6,node/1303641474,#FF0000,
49.60461,6.11026,,Point,Rue Marguerite de Brabant,Hollerich,2,6,node/1304088016,#FF0000,
49.60679,6.108127,,Point,Rue Walram,Belair,2,6,node/1308229683,#FF0000,
49.602731,6.113648,,Point,Rue Marie-Adélaïde,Hollerich,2,6,node/1308273049,#FF0000,
49.602364,6.105867,,Point,Rue Charles Martel,Merl,12,6,node/1309533899,#FF0000,
49.601806,6.101267,,Point,Rue de Merl,Merl,2,6,node/1309562366,#FF0000,
49.610757,6.1002,,Point,Rue Émile Verhaeren,Belair,2,6,node/1315421021,#FF0000,
49.608815,6.106192,,Point,Rue d'Oradour,Belair,2,6,node/1315421027,#FF0000,
49.61005,6.100357,,Point,Rue Émile Verhaeren,Belair,2,6,node/1315421031,#FF0000,
49.603458,6.08481,,Point,Route de Longwy,Merl,2,13,node/1319330131,#FF0000,
49.607023,6.13699,,Point,,Ville-Haute,2,11,node/1319849164,#FF0000,
49.601209,6.114444,,Point,Rue Raymond Poincaré,Hollerich,2,11,node/1320985340,#FF0000,
49.611661,6.101875,,Point,Rue Marie-Thérèse Glaesener-Hartmann,Belair,2,6,node/1321087711,#FF0000,
49.617318,6.108161,,Point,Boulevard Napoléon 1er,Rollingergrund,2,6,node/1321645365,#FF0000,
49.614698,6.110949,,Point,Rue du Stade,Belair,2,6,node/1321645380,#FF0000,
49.618864,6.099192,,Point,Rue Nicolas-Ernest Barblé,Rollingergrund,2,6,node/1322750233,#FF0000,
49.607428,6.101897,,Point,Rue Charlemagne,Belair,2,6,node/1324367502,#FF0000,
49.607207,6.098244,,Point,Rue des Aubépines,Merl,2,6,node/1324367503,#FF0000,
49.613578,6.14356,,Point,Montée de Clausen,Clausen,12,6,node/1325599571,#FF0000,
49.612702,6.112459,,Point,Allée Léopold Goebel,Belair,0,7,node/1327268890,#FFD700,
49.63103,6.176128,,Point,Rue Docteur Nicolas Clasen,Neudorf-Weimershof,2,7,node/1330935295,#FF0000,
49.630936,6.176085,,Point,Rue Joseph Leydenbach,Neudorf-Weimershof,2,6,node/1330935324,#FF0000,
49.608685,6.115507,,Point,Rue des Dahlias,Belair,2,7,node/1335780752,#FF0000,
49.608586,6.115374,,Point,Avenue du Dix Septembre,Belair,2,7,node/1335780757,#FF0000,
49.608616,6.115647,,Point,Avenue du Dix Septembre,Belair,12,7,node/1335780775,#FF0000,
49.609566,6.11913,,Point,Avenue du Dix Septembre,Ville-Haute,12,11,node/1335780779,#FF0000,
49.609525,6.11939,,Point,Boulevard Grande-Duchesse Charlotte,Ville-Haute,2,7,node/1335780790,#FF0000,
49.60726,6.109439,,Point,Avenue du Dix Septembre,Belair,2,11,node/1335780797,#FF0000,
49.60577,6.119503,,Point,Route d'Esch,Hollerich,2,7,node/1335802625,#FF0000,
49.60639,6.119548,,Point,Route d'Esch,Hollerich,2,7,node/1335802626,#FF0000,
49.611158,6.118322,,Point,Boulevard Grande-Duchesse Charlotte,Ville-Haute,2,10,node/1336106568,#FF0000,
49.609949,6.127931,,Point,,Ville-Haute,0,7,node/1336108521,#FFD700,
49.609954,6.128128,,Point,Rue Notre-Dame,Ville-Haute,2,7,node/1336108524,#FF0000,
49.610943,6.107772,,Point,Rue Mathieu Lambert Schrobilgen,Belair,2,7,node/1350817412,#FF0000,
49.634169,6.165998,,Point,Rue Joseph Hess,Kirchberg,10,6,node/1361071843,#FFD700,
49.594058,6.11718,,Point,Route d'Esch,Gasperich,2,7,node/1371314132,#FF0000,
49.614949,6.108858,,Point,Rue d'Ostende,Belair,2,7,node/1372306165,#FF0000,
49.627732,6.134385,,Point,Rue Henri Lamormesnil,Weimerskirch,2,7,node/1372681252,#FF0000,
49.609068,6.112094,,Point,Place Nicolas Philippe,Belair,2,7,node/1374315003,#FF0000,
49.609077,6.111915,,Point,Rue Arthur Herchen,Belair,2,8,node/1374315004,#FF0000,
49.609439,6.112516,,Point,Rue Abbé Lemire,Belair,2,8,node/1374315005,#FF0000,
49.600362,6.133386,,Point,Place de la Gare,Gare,0,7,node/1378101796,#FFD700,
49.621424,6.162672,,Point,,Neudorf-Weimershof,2,6,node/1379413814,#FF0000,
49.61298,6.119602,,Point,Place de l'Étoile,Ville-Haute,0,7,node/1389927987,#FFD700,
49.614312,6.113082,,Point,Route d'Arlon,Belair,12,7,node/1389928006,#FF0000,
49.607292,6.121302,,Point,Rue du Fort Rheinsheim,Ville-Haute,2,7,node/1395940503,#FF0000,
49.603703,6.118238,,Point,Rue Alphonse Munchen,Hollerich,2,6,node/1395967997,#FF0000,
49.607658,6.102836,,Point,Rue Jean Schoetter,Belair,2,6,node/1397125737,#FF0000,
49.60032,6.117417,,Point,Rue Émile Lavandier,Hollerich,2,6,node/1397388353,#FF0000,
49.604898,6.111065,,Point,Rue Marguerite de Brabant,Hollerich,2,6,node/1397388384,#FF0000,
49.601685,6.104484,,Point,Nouvelle route d'Esch,Hollerich,0,6,node/1398646114,#FFD700,
49.630239,6.117808,,Point,Rue Jean-Pierre Huberty,Muhlenbach,2,6,node/1400613545,#FF0000,
49.630322,6.1183,,Point,Rue des Sept-Arpents,Muhlenbach,2,6,node/1400613547,#FF0000,
49.630357,6.118488,,Point,Rue Émile Metz,Eich,2,6,node/1400613548,#FF0000,
49.601179,6.127553,,Point,Rue Adolphe Fischer,Gare,2,6,node/1401567237,#FF0000,
49.60136,6.12744,,Point,Rue Adolphe Fischer,Gare,2,7,node/1401567246,#FF0000,
49.601483,6.128286,,Point,Rue Glesener,Gare,0,7,node/1401567250,#FFD700,
49.601666,6.125954,,Point,Rue des États-Unis,Gare,2,7,node/1401567257,#FF0000,
49.601805,6.126032,,Point,Rue d'Anvers,Gare,2,7,node/1401567268,#FF0000,
49.601828,6.125859,,Point,Boulevard de la Pétrusse,Gare,2,7,node/1401567269,#FF0000,
49.601913,6.125245,,Point,Rue d'Anvers,Gare,2,7,node/1401567273,#FF0000,
49.601935,6.129863,,Point,Rue Glesener,Gare,12,6,node/1401567275,#FF0000,
49.602085,6.126993,,Point,Rue Adolphe Fischer,Gare,2,7,node/1401567279,#FF0000,
49.602129,6.126817,,Point,Rue d'Anvers,Gare,2,6,node/1401567289,#FF0000,
49.60221,6.127016,,Point,Rue d'Anvers,Gare,2,6,node/1401567291,#FF0000,
49.602249,6.126854,,Point,Rue Adolphe Fischer,Gare,0,6,node/1401567296,#FFD700,
